id,Name,year,season,crop_type,rotation_o
1,Field 3,"2025",Summer,Maize,2
2,Field 2,"2024",Winter,Soy Bean,2
3,Field 1,"2025",Summer,Navy Bean,2
4,Field 4,"2026",Winter,Alphapha,2
5,Field 5,"2022",Summer,Wheat,2
6,Field 6,"2020",Winter,Groundnuts,2
7,Field 7,"2026",Summer,Cow peas,2
1,Field 3,"2024",Winter,Soy Bean,1
2,Field 2,"2023",Summer,Cow peas,1
3,Field 1,"2024",Summer,Navy Bean,1
4,Field 4,"2025",Winter,Maize,1
5,Field 5,"2021",Summer,Alphapha,1
6,Field 6,"2019",Summer,Wheat,1
7,Field 7,"2025",Winter,Groundnuts,1
